date,RECESSION,CPI,FEDFUNDS,INDPRO,PAYEMS,SP500,UNEMPLOY,YC
3/1/1967,n,0.001215806,0.06,-0.011407469,0.000336299,0.001960875,-0.053,-0.03
4/1/1967,n,-0.000607718,-0.47,-0.005653221,0.001542468,0.038653225,-0.026,0.73
5/1/1967,n,0.003034904,-0.48,0.009387667,-0.000977129,0.041371787,0.006,0.87
6/1/1967,n,0,-0.11,-0.008761693,0.002349604,-0.053866316,0.034,1.24
7/1/1967,n,0.003025721,0.04,-0.000126286,0.001979144,0.017360741,0.063,1.37
8/1/1967,n,0,-0.19,-0.002278696,0.00209666,0.044346238,-0.048,1.37
9/1/1967,n,0.006024115,0.11,0.01897771,0.003862734,-0.011784212,0.001,1.32
10/1/1967,n,0.002998503,0.09,-0.001624233,0.000317444,0.032259167,0.013,1.76
11/1/1967,n,0.002989539,-0.11,0.008111367,0.000921527,-0.035896659,0.185,1.61
12/1/1967,n,0.002980628,0.25,0.01419935,0.007191894,0.007474642,-0.077,1.19
1/1/1968,n,0.00297177,0.38,0.010713351,0.002949038,0.025937307,-0.048,0.93
2/1/1968,n,0.005917177,0.1,-0.001078502,-0.001436008,-0.044838235,-0.14,0.85
3/1/1968,n,0.00294551,0.1,0.003578931,0.006133478,-0.031720688,0.123,0.71
4/1/1968,n,0.00293686,0.34,0.003116769,0.001189503,0.009356228,-0.124,-0.02
5/1/1968,n,0.00292826,0.71,0.001445863,0.003870944,0.077412633,-0.168,-0.26
6/1/1968,n,0.00291971,0.36,0.011153499,0.001420035,0.012440265,0.031,-0.43
7/1/1968,n,0.00291121,-0.05,0.00366768,0.003732751,0.00907907,0.198,-0.64
8/1/1968,n,0.00290276,-0.04,-0.001534646,0.003249262,-0.01865049,-0.055,-0.61
9/1/1968,n,0.005780363,0,0.002787329,0.002989977,0.011393847,-0.115,-0.29
10/1/1968,n,0.005747142,-0.25,0.003779904,0.002251233,0.037815224,-0.082,-0.3
11/1/1968,n,0.002861232,0.13,0.001982058,0.003454688,0.007181766,0.003,-0.04
12/1/1968,n,0.002853069,-0.09,0.012852632,0.003819764,0.046849618,0.026,0.14
1/1/1969,n,0.005681833,0.2,0.003152989,0.00381967,-0.042507478,-0.03,-0.11
2/1/1969,n,0.002828856,0.28,0.006032316,0.002754406,-0.008217758,0.033,-0.35
3/1/1969,n,0.005633818,0.31,0.006377607,0.003737301,-0.048532991,-0.026,-0.49
4/1/1969,n,0.002805051,0.18,0.007811862,0.002951207,0.033864236,0.02,-1.21
5/1/1969,n,0.002797205,0.62,-0.003685733,0.002386107,0.021248362,0.046,-2.11
